amfi_code,tracking_error
100016,0.1994309678534433
100025,0.13487437584350206
100033,0.2296155850281448
101206,0.1917291208355836
101207,0.2922302764888093
101208,0.12932421979555553
102885,0.18564348364300332
102886,0.2253913997084021
102887,0.2026974250752613
118632,0.19180723942036557
118633,0.19370962965372138
118634,0.27871349628302555
118635,0.18384697224989055
118636,0.13497541210115388
119092,0.18890144177854898
119093,0.18799339211040644
119094,0.23664892142165334
119095,0.283650304257657
119120,0.1358615046355576
119551,0.19332505062113461
119552,0.19163120450407306
119598,0.28542119628230395
119599,0.2801219328081333
120503,0.19335118444737445
120504,0.19105473161501735
120505,0.23370465648061475
120506,0.19802676766347685
120507,0.1292705043724135
120841,0.1821339596462278
120842,0.22096764272355943
120843,0.20710476230614047
120844,0.12932372059096262
125497,0.18930715731663042
125498,0.22506975530077275
148567,0.18852262064184552
148568,0.20364434360293926
148569,0.2189944151094628
149322,0.1932061887257802
149323,0.22116917852590048
149324,0.2782505040098135
