amfi_code,alpha,beta
100016,0.06339196966010643,-0.06764039561777216
100025,0.048909911953278484,0.00037237239940793315
100033,0.2529290800424918,0.008679822555158399
101206,0.16868842630352426,0.02494085049013347
101207,0.14831879771543227,-0.06895967800955322
101208,0.060470779226246656,-0.000397090902913842
102885,0.17459240977555238,-0.03482162189097678
102886,0.06568176254297924,-0.0468063860420182
102887,0.1846193730299904,0.021607791427445504
118632,0.20848986123262453,0.0010396699725219551
118633,0.14357635971101393,-0.03722654769286335
118634,0.14588881346800736,0.09904955062553727
118635,0.16240676077276034,0.0004286414050250436
118636,0.05001323802838382,0.00221315650144859
119092,0.09835406193431903,0.01375864217229335
119093,0.08318483970750438,0.019505834856040332
119094,0.26034225143139134,-0.06058940222385512
119095,0.07995826479182899,-0.05820667256133378
119120,0.061503312637748636,-0.005631678773947833
119551,0.21166416365943055,-0.05480497085446819
119552,0.20290254358020343,-0.016522867200870837
119598,0.2985284761680182,-0.055796228694847384
119599,0.02129073965487891,0.05297069094448307
120503,0.17410539440747957,-0.04373422900616323
120504,0.2448490281964411,0.02440937900458046
120505,0.2898415116975306,-0.008746902862796906
120506,0.15384797508175888,0.025354018500222664
120507,0.06676842159221265,-2.4725060886059477e-05
120841,0.11300540533006706,0.049096593031128725
120842,0.04560825709473341,-0.00670976462931842
120843,0.29736220371145244,-0.018426154072279557
120844,0.06388619912727594,-0.00037650666438143217
125497,0.1590982434643071,0.06540733623324163
125498,0.08961172388723472,0.00707489229259028
148567,0.29731601176050343,0.030625022866343138
148568,0.21908564914749773,-0.015708259934671055
148569,0.2439148080793037,0.005171889890753605
149322,0.14944045693567853,-0.008894443916089697
149323,0.2656054248257174,-0.010759482749813002
149324,0.3016956341567518,0.031855918868490124
